object_kind,object_name,sub_name,details
column,review_audit_log,occurred_at,"{""type"": ""timestamp with time zone"", ""default"": ""now()"", ""ordinal"": 11, ""identity"": null, ""not_null"": true, ""generated"": null}"
column,review_audit_log,question_id,"{""type"": ""text"", ""default"": null, ""ordinal"": 6, ""identity"": null, ""not_null"": false, ""generated"": null}"
column,review_audit_log,review_id,"{""type"": ""uuid"", ""default"": null, ""ordinal"": 3, ""identity"": null, ""not_null"": true, ""generated"": null}"
column,review_audit_log,review_type,"{""type"": ""text"", ""default"": null, ""ordinal"": 2, ""identity"": null, ""not_null"": true, ""generated"": null}"
column,review_audit_log,reviewer_id,"{""type"": ""uuid"", ""default"": null, ""ordinal"": 4, ""identity"": null, ""not_null"": true, ""generated"": null}"
column,review_audit_log,source_version,"{""type"": ""uuid"", ""default"": null, ""ordinal"": 7, ""identity"": null, ""not_null"": false, ""generated"": null}"
column,review_audit_log,target_id,"{""type"": ""text"", ""default"": null, ""ordinal"": 5, ""identity"": null, ""not_null"": true, ""generated"": null}"
constraint,answer_misconception_baselines,answer_misconception_baselines_answer_id_not_blank,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (length(btrim(answer_id)) > 0)"", ""constraint_type"": ""c""}"
constraint,answer_misconception_baselines,answer_misconception_baselines_normalized_ids,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (misconception_ids = normalize_text_id_array(misconception_ids))"", ""constraint_type"": ""c""}"
constraint,answer_misconception_baselines,answer_misconception_baselines_pkey,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""PRIMARY KEY (answer_id)"", ""constraint_type"": ""p""}"
constraint,answer_misconception_baselines,answer_misconception_baselines_question_id_not_blank,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (length(btrim(question_id)) > 0)"", ""constraint_type"": ""c""}"
constraint,answer_misconception_baselines,answer_misconception_baselines_synced_by_fkey,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""FOREIGN KEY (synced_by) REFERENCES lecturer_profiles(user_id)"", ""constraint_type"": ""f""}"
constraint,answer_misconception_overrides,answer_misconception_overrides_answer_id_not_blank,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (length(btrim(answer_id)) > 0)"", ""constraint_type"": ""c""}"
constraint,answer_misconception_overrides,answer_misconception_overrides_normalized_ids,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (misconception_ids = normalize_text_id_array(misconception_ids))"", ""constraint_type"": ""c""}"
constraint,answer_misconception_overrides,answer_misconception_overrides_pkey,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""PRIMARY KEY (answer_id)"", ""constraint_type"": ""p""}"
constraint,answer_misconception_overrides,answer_misconception_overrides_published_by_fkey,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""FOREIGN KEY (published_by) REFERENCES lecturer_profiles(user_id)"", ""constraint_type"": ""f""}"
constraint,answer_misconception_overrides,answer_misconception_overrides_question_id_not_blank,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (length(btrim(question_id)) > 0)"", ""constraint_type"": ""c""}"
constraint,answer_misconception_overrides,answer_misconception_overrides_review_count,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (source_review_count = 3)"", ""constraint_type"": ""c""}"
constraint,answer_reviews,answer_reviews_addition_complete,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (NOT has_additional_misconceptions OR cardinality(additional_misconception_ids) > 0 AND length(btrim(COALESCE(addition_reason, ''::text))) > 0)"", ""constraint_type"": ""c""}"
constraint,answer_reviews,answer_reviews_answer_id_not_blank,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (length(btrim(answer_id)) > 0)"", ""constraint_type"": ""c""}"
constraint,answer_reviews,answer_reviews_inactive_state_check,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (is_active = true AND inactive_reason IS NULL AND inactive_at IS NULL OR is_active = false AND (inactive_reason = ANY (ARRAY['deleted'::text, 'source_updated'::text])) AND inactive_at IS NOT NULL)"", ""constraint_type"": ""c""}"
constraint,answer_reviews,answer_reviews_pkey,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""PRIMARY KEY (id)"", ""constraint_type"": ""p""}"
constraint,answer_reviews,answer_reviews_question_id_not_blank,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (length(btrim(question_id)) > 0)"", ""constraint_type"": ""c""}"
constraint,answer_reviews,answer_reviews_removal_complete,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (NOT has_mismatched_misconceptions OR cardinality(removed_misconception_ids) > 0 AND length(btrim(COALESCE(removal_reason, ''::text))) > 0)"", ""constraint_type"": ""c""}"
constraint,answer_reviews,answer_reviews_reviewer_answer_version_key,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""UNIQUE (reviewer_id, answer_id, source_version)"", ""constraint_type"": ""u""}"
constraint,answer_reviews,answer_reviews_reviewer_id_fkey,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""FOREIGN KEY (reviewer_id) REFERENCES lecturer_profiles(user_id) ON DELETE CASCADE"", ""constraint_type"": ""f""}"
constraint,master_misconception_catalog,master_misconception_catalog_id_not_blank,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (length(btrim(misconception_id)) > 0)"", ""constraint_type"": ""c""}"
constraint,master_misconception_catalog,master_misconception_catalog_pkey,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""PRIMARY KEY (misconception_id)"", ""constraint_type"": ""p""}"
constraint,master_misconception_catalog,master_misconception_catalog_synced_by_fkey,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""FOREIGN KEY (synced_by) REFERENCES lecturer_profiles(user_id)"", ""constraint_type"": ""f""}"
constraint,question_misconception_baselines,question_misconception_baselines_normalized_ids,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (misconception_ids = normalize_text_id_array(misconception_ids))"", ""constraint_type"": ""c""}"
constraint,question_misconception_baselines,question_misconception_baselines_pkey,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""PRIMARY KEY (question_id)"", ""constraint_type"": ""p""}"
constraint,question_misconception_baselines,question_misconception_baselines_question_id_not_blank,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (length(btrim(question_id)) > 0)"", ""constraint_type"": ""c""}"
constraint,question_misconception_baselines,question_misconception_baselines_synced_by_fkey,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""FOREIGN KEY (synced_by) REFERENCES lecturer_profiles(user_id)"", ""constraint_type"": ""f""}"
constraint,question_misconception_overrides,question_misconception_overrides_normalized_ids,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (misconception_ids = normalize_text_id_array(misconception_ids))"", ""constraint_type"": ""c""}"
constraint,question_misconception_overrides,question_misconception_overrides_pkey,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""PRIMARY KEY (question_id)"", ""constraint_type"": ""p""}"
constraint,question_misconception_overrides,question_misconception_overrides_published_by_fkey,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""FOREIGN KEY (published_by) REFERENCES lecturer_profiles(user_id)"", ""constraint_type"": ""f""}"
constraint,question_misconception_overrides,question_misconception_overrides_question_id_not_blank,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (length(btrim(question_id)) > 0)"", ""constraint_type"": ""c""}"
constraint,question_misconception_overrides,question_misconception_overrides_review_count,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (source_review_count = 3)"", ""constraint_type"": ""c""}"
constraint,question_reviews,question_reviews_addition_complete,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (NOT has_additional_misconceptions OR cardinality(additional_misconception_ids) > 0 AND length(btrim(COALESCE(addition_reason, ''::text))) > 0)"", ""constraint_type"": ""c""}"
constraint,question_reviews,question_reviews_inactive_state_check,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (is_active = true AND inactive_reason IS NULL AND inactive_at IS NULL OR is_active = false AND (inactive_reason = ANY (ARRAY['deleted'::text, 'source_updated'::text])) AND inactive_at IS NOT NULL)"", ""constraint_type"": ""c""}"
constraint,question_reviews,question_reviews_pkey,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""PRIMARY KEY (id)"", ""constraint_type"": ""p""}"
constraint,question_reviews,question_reviews_question_id_not_blank,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (length(btrim(question_id)) > 0)"", ""constraint_type"": ""c""}"
constraint,question_reviews,question_reviews_removal_complete,"{""deferred"": false, ""validated"": true, ""deferrable"": false, ""definition"": ""CHECK (NOT has_incorrect_misconceptions OR cardinality(removed_misconception_ids) > 0 AND length(btrim(COALESCE(removal_reason, ''::text))) > 0)"", ""constraint_type"": ""c""}"
